data_year,fetal_deaths_ge20wk_resident,resident_live_births,fetal_mortality_rate_per_1000,nvsr_expected_rate,reconciliation
1982,32694,3372317,9.60,,rate not NVSR-benchmarked (pre-1995)
1983,30752,3334315,9.14,,rate not NVSR-benchmarked (pre-1995)
1984,30099,3356887,8.89,,rate not NVSR-benchmarked (pre-1995)
1985,29661,3760561,7.83,,rate not NVSR-benchmarked (pre-1995)
1986,28972,3756547,7.65,,rate not NVSR-benchmarked (pre-1995)
1987,29349,3809394,7.65,,rate not NVSR-benchmarked (pre-1995)
1988,29442,3909510,7.47,,rate not NVSR-benchmarked (pre-1995)
1989,30469,4040958,7.48,,rate not NVSR-benchmarked (pre-1995)
1990,31386,4158212,7.49,,rate not NVSR-benchmarked (pre-1995)
1991,30160,4110907,7.28,,rate not NVSR-benchmarked (pre-1995)
1992,30256,4065014,7.39,,rate not NVSR-benchmarked (pre-1995)
1993,28766,4000240,7.14,,rate not NVSR-benchmarked (pre-1995)
1994,27937,3952767,7.02,,rate not NVSR-benchmarked (pre-1995)
1995,27294,3899589,6.95,6.95,match
1996,27069,3891494,6.91,6.91,match
1997,26486,3880894,6.78,6.78,match
1998,26702,3941553,6.73,6.73,match
1999,26884,3959417,6.74,6.74,match
2000,27003,4058814,6.61,6.61,match
2001,26373,4025933,6.51,6.51,match
2002,25943,4021726,6.41,6.41,match
2003,26004,4089950,6.32,,(no NVSR target)
2004,26001,4112052,6.28,,(no NVSR target)
2005,25894,4138349,6.22,6.22,match
2006,25972,4265555,6.05,6.05,match
2007,26593,4316233,6.12,6.12,match
2008,26335,4247694,6.16,6.16,match
2009,24872,4130665,5.99,5.99,match
2010,24258,3999386,6.03,6.03,match
2011,24289,3953590,6.11,6.11,match
2012,24073,3952841,6.05,6.05,match
2013,23595,3932181,5.96,5.96,match
2014,23980,3988076,5.98,5.98,match
2015,23776,3978497,5.94,5.94,match
2016,23880,3945875,6.02,6.02,match
2017,22827,3855500,5.89,5.89,match
2018,22459,3791712,5.89,5.89,match
2019,21478,3747540,5.70,5.7,match
2020,20854,3613647,5.74,5.74,match
2021,21105,3664292,5.73,5.73,match
2022,20202,3667758,5.48,5.48,match
2023,20005,3596017,5.53,,(no NVSR target)
2024,19837,3628934,5.44,,(no NVSR target)
