data_year,resident_births,infant_deaths,imr_per_1000,neonatal_imr_per_1000,postneonatal_imr_per_1000,reconciliation,coverage_note
2005,4138577,27893,6.74,4.47,2.27,(no NVSR target this year),pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2006,4265593,28278,6.63,4.40,2.23,(no NVSR target this year),pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2007,4316233,28725,6.66,4.33,2.32,(no NVSR target this year),pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2008,4247726,27492,6.47,4.23,2.24,(no NVSR target this year),pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2009,4130665,25793,6.24,4.11,2.13,(no NVSR target this year),pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2010,3999386,24156,6.04,3.99,2.05,(no NVSR target this year),pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2011,3953591,23547,5.96,4.00,1.95,(no NVSR target this year),pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2012,3952842,23378,5.91,3.98,1.94,(no NVSR target this year),pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2013,3932181,23142,5.89,3.99,1.89,(no NVSR target this year),pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2014,3988076,23256,5.83,3.91,1.92,(no NVSR target this year),pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2015,3978497,23327,5.86,3.91,1.95,imr_per_1000:match; neonatal_imr_per_1000:match; postneonatal_imr_per_1000:match,pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2016,3945875,22893,5.80,3.85,1.95,(no NVSR target this year),pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2017,3855500,22167,5.75,3.84,1.91,(no NVSR target this year),pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2018,3791712,21346,5.63,3.75,1.88,(no NVSR target this year),pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2019,3747540,20639,5.51,3.65,1.85,(no NVSR target this year),pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2020,3613647,19346,5.35,3.53,1.82,imr_per_1000:match; neonatal_imr_per_1000:match; postneonatal_imr_per_1000:match,pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2021,3664292,19965,5.45,3.41,2.04,imr_per_1000:match,pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2022,3667758,20268,5.53,3.53,2.00,imr_per_1000:match; neonatal_imr_per_1000:match; postneonatal_imr_per_1000:match,pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
2023,3596017,19743,5.49,3.59,1.91,imr_per_1000:match; neonatal_imr_per_1000:match; postneonatal_imr_per_1000:match,pre-2005 cohort IMR (1983-2004) needs the RECWT/link_segment cohort methodology — see external_validation_targets_v3_linked.csv + natality/docs/COMPARABILITY.md; 1992-1994 permanent NCHS-linkage gap
