data_year,maternal_age_band,live_births,pct_within_year
1968,<15,4752,0.27
1968,15-19,295656,16.89
1968,20-24,653436,37.32
1968,25-29,451945,25.81
1968,30-34,209848,11.99
1968,35-39,103031,5.88
1968,40-44,30219,1.73
1968,45+,1895,0.11
1969,<15,5234,0.29
1969,15-19,302327,16.79
1969,20-24,678224,37.68
1969,25-29,478657,26.59
1969,30-34,211836,11.77
1969,35-39,94875,5.27
1969,40-44,27251,1.51
1969,45+,1699,0.09
1970,<15,5876,0.31
1970,15-19,322354,17.28
1970,20-24,709437,38.03
1970,25-29,497452,26.66
1970,30-34,213903,11.47
1970,35-39,90122,4.83
1970,40-44,24976,1.34
1970,45+,1573,0.08
1971,<15,5789,0.33
1971,15-19,313971,17.66
1971,20-24,677490,38.10
1971,25-29,473446,26.63
1971,30-34,203187,11.43
1971,35-39,81282,4.57
1971,40-44,21493,1.21
1971,45+,1327,0.07
1972,<15,6616,0.38
1972,15-19,332682,19.06
1972,20-24,628912,36.03
1972,25-29,480807,27.55
1972,30-34,199883,11.45
1972,35-39,75581,4.33
1972,40-44,19729,1.13
1972,45+,1224,0.07
1973,<15,7487,0.41
1973,15-19,351561,19.16
1973,20-24,643652,35.07
1973,25-29,522069,28.45
1973,30-34,216660,11.81
1973,35-39,74013,4.03
1973,40-44,18516,1.01
1973,45+,1130,0.06
1974,<15,7945,0.39
1974,15-19,378527,18.70
1974,20-24,710513,35.11
1974,25-29,594081,29.36
1974,30-34,238677,11.79
1974,35-39,75189,3.72
1974,40-44,17724,0.88
1974,45+,1070,0.05
1975,<15,9130,0.41
1975,15-19,415870,18.67
1975,20-24,776925,34.88
1975,25-29,662428,29.74
1975,30-34,263492,11.83
1975,35-39,80293,3.60
1975,40-44,18370,0.82
1975,45+,1117,0.05
1976,<15,9544,0.39
1976,15-19,441211,17.97
1976,20-24,850503,34.63
1976,25-29,749489,30.52
1976,30-34,297592,12.12
1976,35-39,87722,3.57
1976,40-44,18585,0.76
1976,45+,1103,0.04
1977,<15,9616,0.35
1977,15-19,468618,16.94
1977,20-24,955026,34.51
1977,25-29,845045,30.54
1977,30-34,368207,13.31
1977,35-39,99578,3.60
1977,40-44,19941,0.72
1977,45+,1109,0.04
1978,<15,9245,0.32
1978,15-19,468436,16.37
1978,20-24,981776,34.31
1978,25-29,871459,30.46
1978,30-34,402912,14.08
1978,35-39,106961,3.74
1978,40-44,19233,0.67
1978,45+,1061,0.04
1979,<15,9762,0.31
1979,15-19,499251,15.70
1979,20-24,1081695,34.02
1979,25-29,976040,30.70
1979,30-34,469099,14.75
1979,35-39,121780,3.83
1979,40-44,20722,0.65
1979,45+,1079,0.03
1980,<15,9322,0.28
1980,15-19,506053,15.31
1980,20-24,1123623,34.00
1980,25-29,1016273,30.75
1980,30-34,501104,15.16
1980,35-39,126850,3.84
1980,40-44,20779,0.63
1980,45+,1074,0.03
1981,<15,8805,0.27
1981,15-19,482378,14.56
1981,20-24,1107568,33.43
1981,25-29,1032864,31.17
1981,30-34,528424,15.95
1981,35-39,131403,3.97
1981,40-44,20839,0.63
1981,45+,1069,0.03
1982,<15,8979,0.27
1982,15-19,472247,14.00
1982,20-24,1106704,32.82
1982,25-29,1057212,31.35
1982,30-34,552603,16.39
1982,35-39,151333,4.49
1982,40-44,22149,0.66
1982,45+,1090,0.03
1983,<15,8961,0.27
1983,15-19,450408,13.51
1983,20-24,1064998,31.94
1983,25-29,1053487,31.60
1983,30-34,569675,17.09
1983,35-39,162514,4.87
1983,40-44,23239,0.70
1983,45+,1033,0.03
1984,<15,9149,0.27
1984,15-19,431340,12.85
1984,20-24,1045811,31.15
1984,25-29,1068823,31.84
1984,30-34,600586,17.89
1984,35-39,176200,5.25
1984,40-44,24005,0.72
1984,45+,973,0.03
1985,<15,10220,0.27
1985,15-19,467485,12.43
1985,20-24,1141320,30.35
1985,25-29,1201350,31.95
1985,30-34,696354,18.52
1985,35-39,214336,5.70
1985,40-44,28334,0.75
1985,45+,1162,0.03
1986,<15,10176,0.27
1986,15-19,461905,12.30
1986,20-24,1102119,29.34
1986,25-29,1199519,31.93
1986,30-34,721395,19.20
1986,35-39,230335,6.13
1986,40-44,29847,0.79
1986,45+,1251,0.03
1987,<15,10311,0.27
1987,15-19,462312,12.14
1987,20-24,1075856,28.24
1987,25-29,1216080,31.92
1987,30-34,760695,19.97
1987,35-39,247984,6.51
1987,40-44,34781,0.91
1987,45+,1375,0.04
1988,<15,10588,0.27
1988,15-19,478353,12.24
1988,20-24,1067472,27.30
1988,25-29,1239256,31.70
1988,30-34,803547,20.55
1988,35-39,269518,6.89
1988,40-44,39349,1.01
1988,45+,1427,0.04
1989,<15,11486,0.28
1989,15-19,506503,12.53
1989,20-24,1077598,26.67
1989,25-29,1263098,31.26
1989,30-34,842395,20.85
1989,35-39,293878,7.27
1989,40-44,44401,1.10
1989,45+,1599,0.04
1990,<15,11657,0.28
1990,15-19,521826,12.55
1990,20-24,1093730,26.30
1990,25-29,1277108,30.71
1990,30-34,886063,21.31
1990,35-39,317583,7.64
1990,40-44,48607,1.17
1990,45+,1638,0.04
1991,<15,12014,0.29
1991,15-19,519577,12.64
1991,20-24,1089692,26.51
1991,25-29,1219965,29.68
1991,30-34,884862,21.52
1991,35-39,330993,8.05
1991,40-44,52095,1.27
1991,45+,1709,0.04
1992,<15,12220,0.30
1992,15-19,505415,12.43
1992,20-24,1070490,26.33
1992,25-29,1179264,29.01
1992,30-34,895271,22.02
1992,35-39,344644,8.48
1992,40-44,55702,1.37
1992,45+,2008,0.05
1993,<15,12554,0.31
1993,15-19,501093,12.53
1993,20-24,1038127,25.95
1993,25-29,1128862,28.22
1993,30-34,901151,22.53
1993,35-39,357053,8.93
1993,40-44,59071,1.48
1993,45+,2329,0.06
1994,<15,12901,0.33
1994,15-19,505488,12.79
1994,20-24,1001418,25.33
1994,25-29,1088845,27.55
1994,30-34,906498,22.93
1994,35-39,371608,9.40
1994,40-44,63502,1.61
1994,45+,2507,0.06
1995,<15,12242,0.31
1995,15-19,499873,12.82
1995,20-24,965547,24.76
1995,25-29,1063539,27.27
1995,30-34,904666,23.20
1995,35-39,383745,9.84
1995,40-44,67250,1.72
1995,45+,2727,0.07
1996,<15,11148,0.29
1996,15-19,491577,12.63
1996,20-24,945210,24.29
1996,25-29,1071287,27.53
1996,30-34,897913,23.07
1996,35-39,399510,10.27
1996,40-44,71804,1.85
1996,45+,3045,0.08
1997,<15,10121,0.26
1997,15-19,483220,12.45
1997,20-24,942048,24.27
1997,25-29,1069436,27.56
1997,30-34,886798,22.85
1997,35-39,409710,10.56
1997,40-44,76084,1.96
1997,45+,3477,0.09
1998,<15,9462,0.24
1998,15-19,484895,12.30
1998,20-24,965122,24.49
1998,25-29,1083010,27.48
1998,30-34,889365,22.56
1998,35-39,424890,10.78
1998,40-44,81027,2.06
1998,45+,3782,0.10
1999,<15,9054,0.23
1999,15-19,476050,12.02
1999,20-24,981929,24.80
1999,25-29,1078252,27.23
1999,30-34,892400,22.54
1999,35-39,434294,10.97
1999,40-44,83090,2.10
1999,45+,4348,0.11
2000,<15,8519,0.21
