data_year,maternal_race,live_births,pct_within_year,note
1968,White,1461234,83.46,pre-1990 (not NVSR-benchmarked; planned)
1968,Black,261402,14.93,pre-1990 (not NVSR-benchmarked; planned)
1968,AIAN,10738,0.61,pre-1990 (not NVSR-benchmarked; planned)
1968,Asian or Pacific Islander,8631,0.49,pre-1990 (not NVSR-benchmarked; planned)
1968,Not stated / not bridged,8777,0.50,pre-1990 (not NVSR-benchmarked; planned)
1969,White,1502465,83.47,pre-1990 (not NVSR-benchmarked; planned)
1969,Black,266770,14.82,pre-1990 (not NVSR-benchmarked; planned)
1969,AIAN,10411,0.58,pre-1990 (not NVSR-benchmarked; planned)
1969,Asian or Pacific Islander,12976,0.72,pre-1990 (not NVSR-benchmarked; planned)
1969,Not stated / not bridged,7481,0.42,pre-1990 (not NVSR-benchmarked; planned)
1970,White,1552544,83.22,pre-1990 (not NVSR-benchmarked; planned)
1970,Black,280337,15.03,pre-1990 (not NVSR-benchmarked; planned)
1970,AIAN,11107,0.60,pre-1990 (not NVSR-benchmarked; planned)
1970,Asian or Pacific Islander,13790,0.74,pre-1990 (not NVSR-benchmarked; planned)
1970,Not stated / not bridged,7915,0.42,pre-1990 (not NVSR-benchmarked; planned)
1971,White,1467607,82.54,pre-1990 (not NVSR-benchmarked; planned)
1971,Black,276634,15.56,pre-1990 (not NVSR-benchmarked; planned)
1971,AIAN,11598,0.65,pre-1990 (not NVSR-benchmarked; planned)
1971,Asian or Pacific Islander,13484,0.76,pre-1990 (not NVSR-benchmarked; planned)
1971,Not stated / not bridged,8662,0.49,pre-1990 (not NVSR-benchmarked; planned)
1972,White,1431332,82.00,pre-1990 (not NVSR-benchmarked; planned)
1972,Black,279624,16.02,pre-1990 (not NVSR-benchmarked; planned)
1972,AIAN,11775,0.67,pre-1990 (not NVSR-benchmarked; planned)
1972,Asian or Pacific Islander,13547,0.78,pre-1990 (not NVSR-benchmarked; planned)
1972,Not stated / not bridged,9156,0.52,pre-1990 (not NVSR-benchmarked; planned)
1973,White,1510314,82.30,pre-1990 (not NVSR-benchmarked; planned)
1973,Black,287406,15.66,pre-1990 (not NVSR-benchmarked; planned)
1973,AIAN,11657,0.64,pre-1990 (not NVSR-benchmarked; planned)
1973,Asian or Pacific Islander,13819,0.75,pre-1990 (not NVSR-benchmarked; planned)
1973,Not stated / not bridged,11892,0.65,pre-1990 (not NVSR-benchmarked; planned)
1974,White,1669936,82.52,pre-1990 (not NVSR-benchmarked; planned)
1974,Black,311519,15.39,pre-1990 (not NVSR-benchmarked; planned)
1974,AIAN,12536,0.62,pre-1990 (not NVSR-benchmarked; planned)
1974,Asian or Pacific Islander,15361,0.76,pre-1990 (not NVSR-benchmarked; planned)
1974,Not stated / not bridged,14374,0.71,pre-1990 (not NVSR-benchmarked; planned)
1975,White,1817599,81.59,pre-1990 (not NVSR-benchmarked; planned)
1975,Black,362363,16.27,pre-1990 (not NVSR-benchmarked; planned)
1975,AIAN,15185,0.68,pre-1990 (not NVSR-benchmarked; planned)
1975,Asian or Pacific Islander,16834,0.76,pre-1990 (not NVSR-benchmarked; planned)
1975,Not stated / not bridged,15644,0.70,pre-1990 (not NVSR-benchmarked; planned)
1976,White,2009475,81.83,pre-1990 (not NVSR-benchmarked; planned)
1976,Black,392762,15.99,pre-1990 (not NVSR-benchmarked; planned)
1976,AIAN,16432,0.67,pre-1990 (not NVSR-benchmarked; planned)
1976,Asian or Pacific Islander,19006,0.77,pre-1990 (not NVSR-benchmarked; planned)
1976,Not stated / not bridged,18074,0.74,pre-1990 (not NVSR-benchmarked; planned)
1977,White,2260229,81.68,pre-1990 (not NVSR-benchmarked; planned)
1977,Black,446381,16.13,pre-1990 (not NVSR-benchmarked; planned)
1977,AIAN,18096,0.65,pre-1990 (not NVSR-benchmarked; planned)
1977,Asian or Pacific Islander,21817,0.79,pre-1990 (not NVSR-benchmarked; planned)
1977,Not stated / not bridged,20617,0.75,pre-1990 (not NVSR-benchmarked; planned)
1978,White,2333776,81.57,pre-1990 (not NVSR-benchmarked; planned)
1978,Black,456245,15.95,pre-1990 (not NVSR-benchmarked; planned)
1978,AIAN,20100,0.70,pre-1990 (not NVSR-benchmarked; planned)
1978,Asian or Pacific Islander,40295,1.41,pre-1990 (not NVSR-benchmarked; planned)
1978,Not stated / not bridged,10667,0.37,pre-1990 (not NVSR-benchmarked; planned)
1979,White,2580981,81.18,pre-1990 (not NVSR-benchmarked; planned)
1979,Black,509707,16.03,pre-1990 (not NVSR-benchmarked; planned)
1979,AIAN,21441,0.67,pre-1990 (not NVSR-benchmarked; planned)
1979,Asian or Pacific Islander,51918,1.63,pre-1990 (not NVSR-benchmarked; planned)
1979,Not stated / not bridged,15381,0.48,pre-1990 (not NVSR-benchmarked; planned)
1980,White,2683297,81.19,pre-1990 (not NVSR-benchmarked; planned)
1980,Black,523277,15.83,pre-1990 (not NVSR-benchmarked; planned)
1980,AIAN,23701,0.72,pre-1990 (not NVSR-benchmarked; planned)
1980,Asian or Pacific Islander,61044,1.85,pre-1990 (not NVSR-benchmarked; planned)
1980,Not stated / not bridged,13759,0.42,pre-1990 (not NVSR-benchmarked; planned)
1981,White,2688656,81.15,pre-1990 (not NVSR-benchmarked; planned)
1981,Black,519926,15.69,pre-1990 (not NVSR-benchmarked; planned)
1981,AIAN,23940,0.72,pre-1990 (not NVSR-benchmarked; planned)
1981,Asian or Pacific Islander,68952,2.08,pre-1990 (not NVSR-benchmarked; planned)
1981,Not stated / not bridged,11876,0.36,pre-1990 (not NVSR-benchmarked; planned)
1982,White,2733080,81.04,pre-1990 (not NVSR-benchmarked; planned)
1982,Black,524140,15.54,pre-1990 (not NVSR-benchmarked; planned)
1982,AIAN,27827,0.83,pre-1990 (not NVSR-benchmarked; planned)
1982,Asian or Pacific Islander,74596,2.21,pre-1990 (not NVSR-benchmarked; planned)
1982,Not stated / not bridged,12674,0.38,pre-1990 (not NVSR-benchmarked; planned)
1983,White,2699591,80.96,pre-1990 (not NVSR-benchmarked; planned)
1983,Black,518466,15.55,pre-1990 (not NVSR-benchmarked; planned)
1983,AIAN,28475,0.85,pre-1990 (not NVSR-benchmarked; planned)
1983,Asian or Pacific Islander,75603,2.27,pre-1990 (not NVSR-benchmarked; planned)
1983,Not stated / not bridged,12180,0.37,pre-1990 (not NVSR-benchmarked; planned)
1984,White,2713593,80.84,pre-1990 (not NVSR-benchmarked; planned)
1984,Black,522222,15.56,pre-1990 (not NVSR-benchmarked; planned)
1984,AIAN,28739,0.86,pre-1990 (not NVSR-benchmarked; planned)
1984,Asian or Pacific Islander,77444,2.31,pre-1990 (not NVSR-benchmarked; planned)
