data_year,cesarean_rate_pct,twin_rate_per_1000,triplet_plus_rate_per_100000,reconciliation
1968,,19.8,31.6,(no NVSR target)
1969,,,,(no NVSR target)
1970,,,,(no NVSR target)
1971,,17.8,29.1,(no NVSR target)
1972,,18.1,28.0,(no NVSR target)
1973,,18.2,29.8,(no NVSR target)
1974,,18.4,31.5,(no NVSR target)
1975,,18.9,33.2,(no NVSR target)
1976,,19.3,34.7,(no NVSR target)
1977,,19.0,32.7,(no NVSR target)
1978,,19.3,35.8,(no NVSR target)
1979,,19.3,34.1,(no NVSR target)
1980,,19.1,38.0,(no NVSR target)
1981,,19.4,38.4,(no NVSR target)
1982,,19.7,40.6,(no NVSR target)
1983,,20.1,43.6,(no NVSR target)
1984,,20.1,45.3,(no NVSR target)
1985,,20.5,51.2,(no NVSR target)
1986,,21.2,48.3,(no NVSR target)
1987,,21.5,56.2,(no NVSR target)
1988,,21.8,61.0,(no NVSR target)
1989,22.87,22.3,69.2,(no NVSR target)
1990,22.71,22.6,72.8,cesarean_rate_pct:within tol (diff=+0.01); twin_rate_per_1000:match
1991,22.59,23.1,81.4,twin_rate_per_1000:match
1992,22.27,23.5,95.5,cesarean_rate_pct:within tol (diff=-0.03); twin_rate_per_1000:match
1993,21.76,24.1,104.2,twin_rate_per_1000:match
1994,21.20,24.6,116.2,twin_rate_per_1000:match
1995,20.84,24.8,127.5,cesarean_rate_pct:within tol (diff=+0.04); twin_rate_per_1000:match
1996,20.66,25.9,152.6,cesarean_rate_pct:within tol (diff=-0.04); twin_rate_per_1000:match
1997,20.78,26.8,173.6,twin_rate_per_1000:match
1998,21.15,28.1,193.5,cesarean_rate_pct:within tol (diff=-0.05); twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
1999,21.96,28.9,184.9,twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2000,22.92,29.3,180.5,cesarean_rate_pct:within tol (diff=+0.02); twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2001,24.42,30.1,185.6,twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2002,26.08,31.1,184.0,cesarean_rate_pct:within tol (diff=-0.02); twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2003,27.51,31.5,187.4,cesarean_rate_pct:within tol (diff=+0.01); twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2004,29.08,32.2,176.9,twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2005,30.29,32.2,161.8,cesarean_rate_pct:within tol (diff=-0.01); twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2006,31.08,32.1,153.3,twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2007,31.80,32.2,148.9,twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2008,32.34,32.6,147.6,cesarean_rate_pct:within tol (diff=+0.04); twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2009,32.87,33.2,153.5,twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2010,32.81,33.1,137.6,cesarean_rate_pct:within tol (diff=+0.01); twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2011,32.78,33.2,137.0,twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2012,32.84,33.1,124.4,twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2013,32.70,33.7,119.5,cesarean_rate_pct:match; twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2014,32.24,33.9,113.5,cesarean_rate_pct:within tol (diff=+0.04); twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2015,32.00,33.5,103.6,cesarean_rate_pct:match; twin_rate_per_1000:match; triplet_plus_rate_per_100000:match
2016,31.92,33.4,101.4,(no NVSR target)
2017,31.98,33.3,101.6,(no NVSR target)
2018,31.88,32.6,93.0,(no NVSR target)
2019,31.68,32.1,87.7,cesarean_rate_pct:within tol (diff=-0.02)
2020,31.81,31.1,79.6,cesarean_rate_pct:within tol (diff=+0.01)
2021,32.08,31.2,80.0,cesarean_rate_pct:within tol (diff=-0.02); twin_rate_per_1000:match
2022,32.14,31.2,78.9,cesarean_rate_pct:within tol (diff=+0.04); twin_rate_per_1000:match
2023,32.33,30.7,73.8,cesarean_rate_pct:within tol (diff=-0.07); twin_rate_per_1000:match
2024,32.38,30.1,71.3,cesarean_rate_pct:within tol (diff=-0.02)
