data_year,lbw_rate_pct,preterm_rate_pct,singleton_rate_pct,denominator_basis,reconciliation
1968,8.20,8.93,97.99,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1969,8.09,9.81,,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1970,7.93,9.31,,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1971,7.66,9.39,98.19,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1972,7.66,9.64,98.16,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1973,7.56,9.14,98.15,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1974,7.41,8.47,98.12,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1975,7.43,9.04,98.07,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1976,7.30,8.89,98.04,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1977,7.12,8.88,98.07,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1978,7.09,8.90,98.03,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1979,6.97,8.94,98.03,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1980,6.87,8.94,98.05,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1981,6.84,9.49,98.02,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1982,6.78,9.55,97.99,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1983,6.84,9.65,97.95,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1984,6.74,9.44,97.94,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1985,6.75,9.82,97.90,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1986,6.81,10.02,97.84,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1987,6.90,10.25,97.80,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1988,6.93,10.28,97.76,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1989,7.05,10.58,97.70,known (non-null) resident births,not NVSR-benchmarked (pre-1990; planned)
1990,6.97,10.62,97.67,known (non-null) resident births,lbw_rate_pct:within tol (diff=-0.03); preterm_rate_pct:within tol (diff=+0.02)
1991,7.12,10.82,97.61,known (non-null) resident births,lbw_rate_pct:within tol (diff=+0.02); preterm_rate_pct:within tol (diff=+0.02)
1992,7.08,10.69,97.56,known (non-null) resident births,lbw_rate_pct:within tol (diff=-0.02); preterm_rate_pct:within tol (diff=-0.01)
1993,7.22,10.99,97.48,known (non-null) resident births,lbw_rate_pct:within tol (diff=+0.02); preterm_rate_pct:within tol (diff=-0.01)
1994,7.28,11.02,97.43,known (non-null) resident births,lbw_rate_pct:within tol (diff=-0.02); preterm_rate_pct:within tol (diff=+0.02)
1995,7.32,10.99,97.39,known (non-null) resident births,lbw_rate_pct:within tol (diff=+0.02); preterm_rate_pct:within tol (diff=-0.01)
1996,7.39,10.99,97.26,known (non-null) resident births,lbw_rate_pct:within tol (diff=-0.01); preterm_rate_pct:within tol (diff=-0.01)
1997,7.51,11.36,97.14,known (non-null) resident births,lbw_rate_pct:within tol (diff=+0.01); preterm_rate_pct:within tol (diff=-0.04)
1998,7.57,11.59,97.00,known (non-null) resident births,lbw_rate_pct:within tol (diff=-0.03); preterm_rate_pct:within tol (diff=-0.01)
1999,7.62,11.77,96.93,known (non-null) resident births,lbw_rate_pct:within tol (diff=+0.02); preterm_rate_pct:within tol (diff=-0.03)
