year,source_url,source_org,raw_filename,file_format,doc_filename,record_length,imported,notes
1982,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1982US.zip,NCHS,Fetal1982US.zip,fixed-width zip,1982FetalUserGuide.pdf,200,yes,1978-revision uniform; 62352 records; V3b backward-extension start year
1983,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1983US.zip,NCHS,Fetal1983US.zip,fixed-width zip,1983FetalUserGuide.pdf,200,yes,1978-revision uniform; 60584 records; V3b backward extension
1984,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1984US.zip,NCHS,Fetal1984US.zip,fixed-width zip,1984FetalUserGuide.pdf,200,yes,1978-revision uniform; 59863 records; V3b backward extension
1985,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1985US.zip,NCHS,Fetal1985US.zip,fixed-width zip,1985FetalUserGuide.pdf,200,yes,1978-revision uniform; 59690 records; V3b backward extension; embedded text layer verified per LESSONS L12-extension 2026-05-12T15:00Z
1986,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1986US.zip,NCHS,Fetal1986US.zip,fixed-width zip,1986FetalUserGuide.pdf,200,yes,1978-revision uniform; 59343 records; V3b backward extension
1987,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1987US.zip,NCHS,Fetal1987US.zip,fixed-width zip,1987FetalUserGuide.pdf,200,yes,1978-revision uniform; 59358 records; V3b backward extension
1988,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1988US.zip,NCHS,Fetal1988US.zip,fixed-width zip,1988FetalUserGuide.pdf,200,yes,1978-revision uniform; 59935 records; V3b backward-extension end year (1989-revision begins 1989)
1989,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1989US.zip,NCHS,Fetal1989US.zip,fixed-width zip,1989FetalUserGuide.pdf,360,yes,1989-revision uniform; 61295 records; V3a backward-extension start year
1990,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1990US.zip,NCHS,Fetal1990US.zip,fixed-width zip,1990FetalUserGuide.pdf,360,yes,1989-revision uniform; 64349 records; V3a backward extension
1991,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1991US.zip,NCHS,Fetal1991US.zip,fixed-width zip,1991FetalUserGuide.pdf,360,yes,1989-revision uniform; 63265 records; V3a backward extension
1992,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1992US.zip,NCHS,Fetal1992US.zip,fixed-width zip,1992FetalUserGuide.pdf,360,yes,1989-revision uniform; 70929 records; benchmark year for V2 layout reconstruction
1993,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1993US.zip,NCHS,Fetal1993US.zip,fixed-width zip,1993FetalUserGuide.pdf,360,yes,1989-revision uniform
1994,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1994US.zip,NCHS,Fetal1994US.zip,fixed-width zip,1994FetalUserGuide.pdf,360,yes,1989-revision uniform
1995,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1995US.zip,NCHS,Fetal1995US.zip,fixed-width zip,1995FetalUserGuide.pdf,360,yes,1989-revision uniform; NVSR 57-08 validation begins this year
1996,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1996US.zip,NCHS,Fetal1996US.zip,fixed-width zip,1996FetalUserGuide.pdf,360,yes,1989-revision uniform; stale-guide year (control count copy-pasted from 1995)
1997,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1997US.zip,NCHS,Fetal1997US.zip,fixed-width zip,1997FetalUserGuide.pdf,360,yes,1989-revision uniform
1998,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1998US.zip,NCHS,Fetal1998US.zip,fixed-width zip,1998FetalUserGuide.pdf,360,yes,1989-revision uniform; clean reference guide for OCR cross-checks
1999,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal1999US.zip,NCHS,Fetal1999US.zip,fixed-width zip,1999FetalUserGuide.pdf,360,yes,1989-revision uniform
2000,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal2000US.zip,NCHS,Fetal2000US.zip,fixed-width zip,2000FetalUserGuide.pdf,360,yes,1989-revision uniform
2001,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal2001US.zip,NCHS,Fetal2001US.zip,fixed-width zip,2001FetalUserGuide.pdf,360,yes,1989-revision uniform; stale-guide year (control count copy-pasted from 2000)
