harmonized_name,harmonized_label,domain,type,allowed_values,years_available,raw_source_by_year,comparability_class,derivation_rule,notes
version_flag,Revision Flag (1989 vs 2003),record_id,str,"A,S",1982-2024,1985:synthesized=S; 1992:synthesized=S; 2006:VERSION(7-7); 2014:VERSION(7-7); 2022:VERSION(7-7),full,,A=2003 revision; S=1989 revision. Same coding all years. 1982-1988 and 1992-2002 files have no native VERSION field; harmonize.py synthesizes S (1978-rev predates 2003-rev split). In 2006 both A and S states present; by 2022 nearly all states are A.
tabulation_flag,Obstetric Estimate Tabulation Flag (>=20 weeks),record_id,int,1-2,1982-2024,1985:TABFLAG(10-10); 2006:TABFLG(9-9); 2014:OE_TABFLG(10-10); 2022:OE_TABFLG(10-10),partial,,Same concept (1=exclude <20wk; 2=include >=20wk). Field name and position changed between 2006 and 2014/2022. Use to filter tabulation-eligible records.
delivery_year,Year of Delivery,record_id,int,1982-2024,1982-2024,1985:DATAYEAR(1-2)+harmonize.py expansion (int(raw)+1900); 1992:DELYR(190-193); 2006:DOD_YY(15-18); 2014:DOD_YY(11-14); 2022:DOD_YY(11-14),partial,,Same concept (4-digit year); positions and field names differ across eras. V2 (1992-2002) sources from DELYR.
data_year,Data Year (int convenience),record_id,int32,1982-2024,1982-2024,derived from delivery_year (cast to int32),full,int(delivery_year),"Convenience int32 sibling of `delivery_year`. Always equal to `int(delivery_year)` for every row (verified 2,427,233/2,427,233 in v2.4.0). Recommended filter/join key for cross-year analyses. Includes V2.1 transition years 2003-2004 and the full 43-year envelope 1982-2024."
residence_status,Residence Status,record_id,int,1-4,1982-2024,1985:RESTATUS(12-12); 2006:RESTATUS(138-138); 2014:RESTATUS(131-131); 2022:RESTATUS(131-131),full,,1=Resident; 2=Intrastate nonresident; 3=Interstate nonresident; 4=Foreign resident. Same coding; positions differ in 2006.
maternal_age,Mother's Single Year of Age,maternal_demo,int,10-54;99,"1982-2002, 2005-2024",1985:DMAGE(81-82); 1992:DMAGE(71-72); 2006:MAGER(89-90); 2014:MAGER(86-87); 2022:MAGER(86-87),partial,,V2 1989-rev DMAGE: exact single year (observed 10-54; 99=Unknown). V1 2003-rev MAGER: 12-50 with top-coded 50+ and bottom-coded 12-. 108 V2 rows have age 50-54 and 42 V2 rows have age 10-11 — outside V1 boundary-coded range. 0 V2 rows have DMAGE=99 (NCHS imputes mother's age in V2 era).
maternal_age_recode14,Mother's Age Recode 14,maternal_demo,int,1-14,2003-2024,2006:MAGER14(91-92); 2014:MAGER14(88-89); 2022:MAGER14(88-89),full,,14-category recode. Same coding all years (A+S). Position differs in 2006.
maternal_age_recode9,Mother's Age Recode 9,maternal_demo,int,1-9,2003-2024,2006:MAGER9(93-93); 2014:MAGER9(90-90); 2022:MAGER9(90-90),full,,9-category recode. Same coding all years (A+S). Position differs in 2006.
maternal_race_multi,Mother's Race Recode 31 (multi-race),maternal_demo,int,1-30,"2014-2015, 2019-2024",2006:N/A; 2014:MRACE31(132-133); 2022:MRACE31(132-133),within_era,,31-category multi-race recode. Not in 2006 public-use file. Available 2014+ (version A only).
maternal_race_recode6,Mother's Race Recode 6,maternal_demo,int,1-6,2014-2024,2006:N/A; 2014:MRACE6(134-134); 2022:MRACE6(134-134),within_era,,6-category multi-race recode. Not in 2006. Available 2014+ (version A only).
maternal_race_bridged,Mother's Bridged Race Recode,maternal_demo,int,1-4,1982-2017,1985:MRACE(86-86)+1-digit harmonize.py recode; 1992:MRACE(79-80)+harmonize.py recode; 2006:MRACEREC(143-143); 2014:MRACEREC(137-137); 2022:N/A,partial,,"4-category bridged race (1=White 2=Black 3=AIAN 4=API). V2 sources from raw MRACE (79-80) and harmonize.py recodes 01->1, 02->2, 03->3, 04-78->4, 99->blank (unknown). Available in 2006 (A+S) and 2014 (A+S). Not present as data field in 2022 layout (only flag F_MRACEREC remains)."
