year,live_births,source
1995,3899589,NVSR 57-08 Table B
1996,3891494,NVSR 57-08 Table B
1997,3880894,NVSR 57-08 Table B
1998,3941553,NVSR 57-08 Table B
1999,3959417,NVSR 57-08 Table B
2000,4058882,NVSR 57-08 Table B
2001,4026036,NVSR 57-08 Table B
2002,4021825,NVSR 57-08 Table B
2005,4138573,NVSR 73-09 / NCHS Vital Statistics
2006,4265593,NVSR 73-09 / NCHS Vital Statistics
2007,4316233,NVSR 73-09 / NCHS Vital Statistics
2008,4247726,NVSR 73-09 / NCHS Vital Statistics
2009,4130665,NVSR 73-09 / NCHS Vital Statistics
2010,3999386,NVSR 73-09 / NCHS Vital Statistics
2011,3953590,NVSR 73-09 / NCHS Vital Statistics
2012,3952841,NVSR 73-09 / NCHS Vital Statistics
2013,3932181,NVSR 73-09 / NCHS Vital Statistics
2014,3988076,NVSR 73-09 / NCHS Vital Statistics
2015,3978497,NVSR 73-09 / NCHS Vital Statistics
2016,3945875,NVSR 73-09 / NCHS Vital Statistics
2017,3855500,NVSR 73-09 / NCHS Vital Statistics
2018,3791712,NVSR 73-09 / NCHS Vital Statistics
2019,3747540,NVSR 73-09 / NCHS Vital Statistics
2020,3613647,NVSR 73-09 / NCHS Vital Statistics
2021,3664292,NVSR 73-09 / NCHS Vital Statistics
2022,3667758,NVSR 73-09 / NCHS Vital Statistics
