position_start,position_end,length,field_name,description,version,values_summary,notes
1,2,2,DATAYEAR,Last Two Digits of Current Data Year (1978-rev),1978,82=1982 through 88=1988,"V3b 1978-rev encodes data year as 2 digits (vs V2 1989-rev DELYR @ 190-193 which is 4 digits). Harmonize.py must expand: int(raw)+1900."
3,3,1,REPAREA,Reporting Area,1978,"0=All other areas; 1=Bronx; 2=Brooklyn; 3=Manhattan; 4=Queens; 5=Staten Island; 6=Chicago","Used with STATEOCC @ 13-14 to identify separate reporting areas (NYC boroughs + Chicago). Per user-guide p8: ""Due to coded processing problems, this item should not be used."""
4,9,6,CERTNUM,Certificate Number,1978,blank in public-use file,"Per user-guide p8: ""These positions are blank."" Reserved/filler in PUF."
10,10,1,TABFLAG,Tabulation Inclusion Flag,1978,1=Under 20 weeks (excluded); 2=20 weeks or more (included),"NVSR-tabulated subset is TABFLAG='2'. SAME concept and coding as V2 1989-rev TABFLAG @ 5; DIFFERENT byte position. Canonical filter `tabulation_flag==2 AND residence_status!=4` applies identically."
11,11,1,RECTYPE,Record Type,1978,1=Resident (occ=res); 2=Nonresident (occ!=res),"Same coding as V2 RECTYPE @ 6; different byte position."
12,12,1,RESTATUS,Resident Status,1978,1=Resident; 2=Intrastate nonresident; 3=Interstate nonresident; 4=Foreign resident,"Same coding as V2 RESTATUS @ 7; different byte position. Exclude '4' for U.S.-resident tabulations (canonical filter)."
13,14,2,STATEOCC,NCHS State of Occurrence,1978,01-51 (NCHS state codes),"V2 has STATEFET @ 17-18 (NCHS state of occurrence; same concept different position). V3b/1978-rev places it at 13-14. 51 codes (50 states + DC)."
15,17,3,CNTYOCC,NCHS County of Occurrence,1978,001-nnn (alphabetical within state),"V2 has CNTYFET @ 19-21 (same concept different position)."
18,18,1,REGNOCC,Region of Occurrence,1978,1=Northeast; 2=North Central; 3=South; 4=West,"V2 has REGNOCC @ 12. Different byte position; same coding. (V2 uses ""Midwest"" naming; V3b uses ""North Central"" — same NCHS census region.)"
19,19,1,DIVOCC,Division of Occurrence,1978,1-9 per NCHS division codes,"V2 has DIVOCC @ 13. Different byte position; same coding."
20,20,1,STSDBOCC,State Subcode of Occurrence,1978,1-9 within Division,"V3b 1978-rev splits Region/Division/State-subcode into 3 separate bytes 18/19/20. V2 has STSDBOCC @ 14 (same concept)."
21,22,2,STFETEXP,Expanded State of Occurrence,1978,01-52 (states + NYC=34 separate from NY=33),"Same name and concept as V2 STFETEXP @ 15-16; different byte position. NYC is broken out from NY State."
23,24,2,STATERES,NCHS State of Residence,1978,01-51 + 52-59 (foreign residents: PR=52; VI=53; Guam=54; Canada=55; Cuba=56; Mexico=57; ROW=59),"V2 has STATERES @ 33-34 (same concept different position). 1978-rev includes foreign-resident codes 52-59 in this field."
25,27,3,CNTYRES,NCHS County of Residence,1978,001-nnn (alphabetical within state); 222=Foreign,"V2 has CNTYRES @ 35-37."
28,30,3,CITYRES,NCHS City of Residence,1978,"001-nnn (100K+ cities alphabetical within state); 999=Balance of county; 222=Foreign; ZZZ=All other","V2 has CITYRES @ 38-40."
31,31,1,CITRSPOP,Population Size of City of Residence,1978,"0=1M+; 1=500K-1M; 2=250-500K; 3=100-250K; 9=All other; Z=Foreign","V2 has CITRSPOP @ 41."
32,32,1,METRORES,Metro/Nonmetro County of Residence,1978,1=Metro; 2=Nonmetro; Z=Foreign,"V2 has METRORES @ 42."
33,33,1,REGNRES,Region of Residence,1978,0=Foreign; 1=Northeast; 2=North Central; 3=South; 4=West,"V2 has REGNRES @ 28."
34,34,1,DIVRES,Division of Residence,1978,1-9 per NCHS division codes,"V2 has DIVRES @ 29."
