data_year,maternal_age_band,maternal_race_bridged,hispanic_origin,live_births
1992,<20,1,0,237079
1992,<20,1,1,77076
1992,<20,1,2,12051
1992,<20,1,3,782
1992,<20,1,4,7841
1992,<20,1,5,9709
1992,<20,1,9,3568
1992,<20,2,0,150599
1992,<20,2,1,320
1992,<20,2,2,524
1992,<20,2,3,35
1992,<20,2,4,619
1992,<20,2,5,197
1992,<20,2,9,954
1992,<20,3,0,7353
1992,<20,3,1,272
1992,<20,3,2,27
1992,<20,3,3,2
1992,<20,3,4,11
1992,<20,3,5,87
1992,<20,3,9,125
1992,<20,4,0,5770
1992,<20,4,1,104
1992,<20,4,2,145
1992,<20,4,4,62
1992,<20,4,5,223
1992,<20,4,9,65
1992,<20,,0,1897
1992,<20,,1,12
1992,<20,,2,7
1992,<20,,4,8
1992,<20,,5,23
1992,<20,,9,88
1992,20-24,1,0,605805
1992,20-24,1,1,142102
1992,20-24,1,2,18899
1992,20-24,1,3,2031
1992,20-24,1,4,21135
1992,20-24,1,5,15043
1992,20-24,1,9,9407
1992,20-24,2,0,211470
1992,20-24,2,1,435
1992,20-24,2,2,675
1992,20-24,2,3,63
1992,20-24,2,4,1519
1992,20-24,2,5,362
1992,20-24,2,9,1533
1992,20-24,3,0,12199
1992,20-24,3,1,335
1992,20-24,3,2,47
1992,20-24,3,3,4
1992,20-24,3,4,32
1992,20-24,3,5,150
1992,20-24,3,9,192
1992,20-24,4,0,19227
1992,20-24,4,1,163
1992,20-24,4,2,221
1992,20-24,4,3,6
1992,20-24,4,4,168
1992,20-24,4,5,437
1992,20-24,4,9,270
1992,20-24,,0,6228
1992,20-24,,1,40
1992,20-24,,2,14
1992,20-24,,3,2
1992,20-24,,4,16
1992,20-24,,5,49
1992,20-24,,9,211
1992,25-29,1,0,780453
1992,25-29,1,1,114233
1992,25-29,1,2,14447
1992,25-29,1,3,4018
1992,25-29,1,4,25967
1992,25-29,1,5,11989
1992,25-29,1,9,13479
1992,25-29,2,0,153562
1992,25-29,2,1,262
1992,25-29,2,2,459
1992,25-29,2,3,86
1992,25-29,2,4,1662
1992,25-29,2,5,312
1992,25-29,2,9,1617
1992,25-29,3,0,9293
1992,25-29,3,1,209
1992,25-29,3,2,26
1992,25-29,3,3,3
1992,25-29,3,4,36
1992,25-29,3,5,108
1992,25-29,3,9,150
1992,25-29,4,0,35744
1992,25-29,4,1,117
1992,25-29,4,2,109
1992,25-29,4,3,4
1992,25-29,4,4,159
1992,25-29,4,5,462
1992,25-29,4,9,546
1992,25-29,,0,9365
1992,25-29,,1,56
1992,25-29,,2,8
1992,25-29,,3,2
1992,25-29,,4,28
1992,25-29,,5,82
1992,25-29,,9,211
1992,30-34,1,0,631510
1992,30-34,1,1,64826
1992,30-34,1,2,7939
1992,30-34,1,3,3061
1992,30-34,1,4,18334
1992,30-34,1,5,7602
1992,30-34,1,9,12238
1992,30-34,2,0,97266
1992,30-34,2,1,121
1992,30-34,2,2,248
1992,30-34,2,3,78
1992,30-34,2,4,1195
1992,30-34,2,5,217
1992,30-34,2,9,1214
1992,30-34,3,0,5596
1992,30-34,3,1,129
1992,30-34,3,2,15
1992,30-34,3,3,4
1992,30-34,3,4,15
1992,30-34,3,5,70
1992,30-34,3,9,99
1992,30-34,4,0,34911
1992,30-34,4,1,92
1992,30-34,4,2,56
1992,30-34,4,3,3
1992,30-34,4,4,109
1992,30-34,4,5,322
1992,30-34,4,9,477
1992,30-34,,0,7239
1992,30-34,,1,25
1992,30-34,,2,4
1992,30-34,,3,3
1992,30-34,,4,19
1992,30-34,,5,49
1992,30-34,,9,185
1992,35-39,1,0,236963
1992,35-39,1,1,25709
1992,35-39,1,2,2949
1992,35-39,1,3,1057
1992,35-39,1,4,7885
1992,35-39,1,5,2826
1992,35-39,1,9,5228
1992,35-39,2,0,38167
1992,35-39,2,1,48
1992,35-39,2,2,90
1992,35-39,2,3,28
1992,35-39,2,4,505
1992,35-39,2,5,84
1992,35-39,2,9,467
1992,35-39,3,0,2271
1992,35-39,3,1,45
1992,35-39,3,2,4
1992,35-39,3,3,1
1992,35-39,3,4,9
1992,35-39,3,5,27
1992,35-39,3,9,49
1992,35-39,4,0,16512
1992,35-39,4,1,31
1992,35-39,4,2,16
1992,35-39,4,3,1
1992,35-39,4,4,45
1992,35-39,4,5,133
1992,35-39,4,9,213
1992,35-39,,0,3140
1992,35-39,,1,11
1992,35-39,,2,3
1992,35-39,,4,8
1992,35-39,,5,26
1992,35-39,,9,93
1992,40+,1,0,37335
1992,40+,1,1,5258
1992,40+,1,2,568
1992,40+,1,3,188
1992,40+,1,4,1555
1992,40+,1,5,511
1992,40+,1,9,1022
1992,40+,2,0,6401
1992,40+,2,1,8
1992,40+,2,2,20
1992,40+,2,3,10
1992,40+,2,4,92
1992,40+,2,5,18
1992,40+,2,9,91
1992,40+,3,0,443
1992,40+,3,1,7
1992,40+,3,5,5
1992,40+,3,9,3
1992,40+,4,0,3357
1992,40+,4,1,5
1992,40+,4,2,4
1992,40+,4,4,7
1992,40+,4,5,20
1992,40+,4,9,46
1992,40+,,0,682
1992,40+,,1,2
1992,40+,,4,3
1992,40+,,5,10
1992,40+,,9,39
1993,<20,1,0,233905
1993,<20,1,1,79807
1993,<20,1,2,12180
1993,<20,1,3,768
1993,<20,1,4,8274
1993,<20,1,5,9587
1993,<20,1,9,3051
1993,<20,2,0,146573
1993,<20,2,1,341
1993,<20,2,2,606
1993,<20,2,3,34
1993,<20,2,4,705
1993,<20,2,5,233
1993,<20,2,9,1078
1993,<20,3,0,7299
1993,<20,3,1,297
1993,<20,3,2,33
1993,<20,3,3,2
1993,<20,3,4,17
1993,<20,3,5,78
1993,<20,3,9,145
1993,<20,4,0,5698
1993,<20,4,1,135
1993,<20,4,2,143
1993,<20,4,3,1
1993,<20,4,4,76
1993,<20,4,5,204
1993,<20,4,9,111
1993,<20,,0,2041
1993,<20,,1,15
1993,<20,,2,9
1993,<20,,3,1
1993,<20,,4,69
1993,<20,,5,30
1993,<20,,9,101
1993,20-24,1,0,581946
1993,20-24,1,1,145250
1993,20-24,1,2,17534
1993,20-24,1,3,2129
1993,20-24,1,4,21402
1993,20-24,1,5,13516
1993,20-24,1,9,8377
1993,20-24,2,0,203219
1993,20-24,2,1,446
1993,20-24,2,2,759
1993,20-24,2,3,76
1993,20-24,2,4,1553
1993,20-24,2,5,368
1993,20-24,2,9,1728
1993,20-24,3,0,11837
1993,20-24,3,1,363
1993,20-24,3,2,47
1993,20-24,3,3,4
1993,20-24,3,4,24
1993,20-24,3,5,122
1993,20-24,3,9,211
1993,20-24,4,0,18931
1993,20-24,4,1,176
1993,20-24,4,2,182
1993,20-24,4,3,4
1993,20-24,4,4,171
1993,20-24,4,5,444
1993,20-24,4,9,335
1993,20-24,,0,6498
1993,20-24,,1,29
1993,20-24,,2,10
1993,20-24,,3,6
1993,20-24,,4,200
1993,20-24,,5,60
1993,20-24,,9,170
1993,25-29,1,0,738136
1993,25-29,1,1,116817
1993,25-29,1,2,13706
1993,25-29,1,3,3848
1993,25-29,1,4,25918
1993,25-29,1,5,11130
1993,25-29,1,9,11217
1993,25-29,2,0,146862
1993,25-29,2,1,283
1993,25-29,2,2,508
1993,25-29,2,3,73
1993,25-29,2,4,1880
1993,25-29,2,5,350
1993,25-29,2,9,1610
1993,25-29,3,0,8917
1993,25-29,3,1,225
1993,25-29,3,2,40
1993,25-29,3,3,6
1993,25-29,3,4,26
1993,25-29,3,5,94
1993,25-29,3,9,164
1993,25-29,4,0,35397
1993,25-29,4,1,120
1993,25-29,4,2,117
1993,25-29,4,3,5
1993,25-29,4,4,169
1993,25-29,4,5,419
1993,25-29,4,9,626
1993,25-29,,0,9681
1993,25-29,,1,44
1993,25-29,,2,17
1993,25-29,,3,3
1993,25-29,,4,189
1993,25-29,,5,70
1993,25-29,,9,195
1993,30-34,1,0,632562
1993,30-34,1,1,67345
1993,30-34,1,2,8061
1993,30-34,1,3,3468
1993,30-34,1,4,19237
1993,30-34,1,5,7319
1993,30-34,1,9,11454
1993,30-34,2,0,97689
1993,30-34,2,1,143
1993,30-34,2,2,309
1993,30-34,2,3,88
1993,30-34,2,4,1260
1993,30-34,2,5,201
1993,30-34,2,9,1276
1993,30-34,3,0,5556
1993,30-34,3,1,131
1993,30-34,3,2,10
1993,30-34,3,3,3
1993,30-34,3,4,22
1993,30-34,3,5,74
1993,30-34,3,9,114
1993,30-34,4,0,35632
1993,30-34,4,1,79
1993,30-34,4,2,69
1993,30-34,4,3,3
1993,30-34,4,4,138
1993,30-34,4,5,333
1993,30-34,4,9,539
1993,30-34,,0,7641
1993,30-34,,1,23
1993,30-34,,2,11
1993,30-34,,3,3
1993,30-34,,4,143
1993,30-34,,5,58
1993,30-34,,9,157
1993,35-39,1,0,245717
1993,35-39,1,1,26171
1993,35-39,1,2,2985
1993,35-39,1,3,1156
1993,35-39,1,4,8363
1993,35-39,1,5,2755
1993,35-39,1,9,5546
1993,35-39,2,0,39921
1993,35-39,2,1,44
1993,35-39,2,2,108
1993,35-39,2,3,37
1993,35-39,2,4,609
1993,35-39,2,5,101
1993,35-39,2,9,528
1993,35-39,3,0,2259
1993,35-39,3,1,58
1993,35-39,3,2,4
1993,35-39,3,3,1
1993,35-39,3,4,10
1993,35-39,3,5,32
1993,35-39,3,9,45
1993,35-39,4,0,16852
1993,35-39,4,1,31
1993,35-39,4,2,20
1993,35-39,4,3,1
1993,35-39,4,4,46
1993,35-39,4,5,149
1993,35-39,4,9,296
1993,35-39,,0,3034
1993,35-39,,1,11
1993,35-39,,2,4
1993,35-39,,3,3
1993,35-39,,4,55
1993,35-39,,5,34
1993,35-39,,9,67
1993,40+,1,0,39765
1993,40+,1,1,5320
1993,40+,1,2,603
1993,40+,1,3,184
1993,40+,1,4,1678
1993,40+,1,5,473
1993,40+,1,9,1173
1993,40+,2,0,7009
1993,40+,2,1,16
1993,40+,2,2,23
1993,40+,2,3,8
1993,40+,2,4,114
1993,40+,2,5,15
1993,40+,2,9,91
1993,40+,3,0,435
1993,40+,3,1,7
1993,40+,3,4,1
1993,40+,3,5,7
1993,40+,3,9,12
1993,40+,4,0,3538
1993,40+,4,1,2
1993,40+,4,2,3
1993,40+,4,4,15
1993,40+,4,5,32
1993,40+,4,9,43
1993,40+,,0,795
1993,40+,,1,4
1993,40+,,2,1
1993,40+,,3,1
1993,40+,,4,7
1993,40+,,5,8
1993,40+,,9,17
1994,<20,1,0,235589
1994,<20,1,1,83504
1994,<20,1,2,12452
1994,<20,1,3,827
1994,<20,1,4,8812
1994,<20,1,5,9353
1994,<20,1,9,3522
1994,<20,2,0,144272
1994,<20,2,1,452
1994,<20,2,2,632
1994,<20,2,3,32
1994,<20,2,4,862
1994,<20,2,5,232
1994,<20,2,9,951
1994,<20,3,0,7285
1994,<20,3,1,339
1994,<20,3,2,34
1994,<20,3,3,3
1994,<20,3,4,15
1994,<20,3,5,87
1994,<20,3,9,153
1994,<20,4,0,5932
1994,<20,4,1,177
1994,<20,4,2,150
1994,<20,4,3,3
1994,<20,4,4,65
1994,<20,4,5,263
1994,<20,4,9,50
1994,<20,,0,2211
1994,<20,,1,41
1994,<20,,2,8
1994,<20,,3,1
1994,<20,,4,13
1994,<20,,5,22
1994,<20,,9,45
1994,20-24,1,0,556019
1994,20-24,1,1,146919
1994,20-24,1,2,16856
1994,20-24,1,3,2278
1994,20-24,1,4,21191
1994,20-24,1,5,13268
1994,20-24,1,9,7554
1994,20-24,2,0,192939
1994,20-24,2,1,546
1994,20-24,2,2,725
1994,20-24,2,3,55
1994,20-24,2,4,1809
1994,20-24,2,5,349
1994,20-24,2,9,1418
1994,20-24,3,0,11349
1994,20-24,3,1,370
1994,20-24,3,2,47
1994,20-24,3,3,5
1994,20-24,3,4,19
1994,20-24,3,5,130
1994,20-24,3,9,238
1994,20-24,4,0,18928
1994,20-24,4,1,181
1994,20-24,4,2,183
1994,20-24,4,3,7
1994,20-24,4,4,156
1994,20-24,4,5,468
1994,20-24,4,9,156
1994,20-24,,0,6968
1994,20-24,,1,59
1994,20-24,,2,10
1994,20-24,,3,2
1994,20-24,,4,33
1994,20-24,,5,66
1994,20-24,,9,117
1994,25-29,1,0,708577
1994,25-29,1,1,118173
1994,25-29,1,2,13134
1994,25-29,1,3,3544
1994,25-29,1,4,25550
1994,25-29,1,5,10911
1994,25-29,1,9,9692
1994,25-29,2,0,137891
