candidate_harmonized_name,harmonized_label,domain,field_1992,pos_1992,field_2006,pos_2006,field_2014,pos_2014,field_2022,pos_2022,comparability_status,notes
version_flag,Revision Flag (1989 vs 2003),record_id,N/A,N/A,VERSION,7-7,VERSION,7-7,VERSION,7-7,full,A=2003 revision; S=1989 revision. Same coding all years. In 2006 both A and S states present; by 2022 nearly all states are A. [1992-2002: 1992-2002 files are 1989-revision only; no VERSION discriminator. Treat era as implicit S.]
tabulation_flag,Obstetric Estimate Tabulation Flag (>=20 weeks),record_id,TABFLAG,5-5,TABFLG,9-9,OE_TABFLG,10-10,OE_TABFLG,10-10,partial,Same concept (1=exclude <20wk; 2=include >=20wk). Field name and position changed between 2006 and 2014/2022. Use to filter tabulation-eligible records. [1992-2002: Same concept (1=<20wk; 2=20+wk). 1-byte field in 1992.]
delivery_year,Year of Delivery,record_id,DELYR,190-193,DOD_YY,15-18,DOD_YY,11-14,DOD_YY,11-14,partial,Same concept; positions differ in 2006 (4-digit year). Field name identical across years. [1992-2002: Delivery year field. DATAYEAR (1-4) is data-year-of-file label; DELYR is the delivery-year data item.]
data_year,Data Year (int convenience),record_id,derived,N/A,derived,N/A,derived,N/A,derived,N/A,full,"int32 sibling of delivery_year. Computed as int(delivery_year) during harmonization in all four eras (no raw source field). Always equal to int(delivery_year) for every row (verified 1,634,195/1,634,195 in V2.0). Recommended filter/join key for cross-year analyses."
residence_status,Residence Status,record_id,RESTATUS,7-7,RESTATUS,138-138,RESTATUS,131-131,RESTATUS,131-131,full,1=Resident; 2=Intrastate nonresident; 3=Interstate nonresident; 4=Foreign resident. Same coding; positions differ in 2006. [1992-2002: Same coding (1/2/3/4). Position differs dramatically (7 vs 138 vs 131).]
maternal_age,Mother's Single Year of Age,maternal_demo,DMAGE,71-72,MAGER,89-90,MAGER,86-87,MAGER,86-87,partial,"Same single-year-of-age concept across eras, but the boundary coding differs: V2 1989-rev DMAGE is exact single year (observed 10-54; 99=Unknown); V1 2003-rev MAGER top-codes 50+ as ""50"" and bottom-codes 12- as ""12"". 108 V2 rows have age 50-54 and 42 V2 rows have age 10-11 — both outside the V1 boundary-coded range. AUDIT-V2-FINAL R2 (2026-04-22) re-labeled from full to partial."
maternal_age_recode14,Mother's Age Recode 14,maternal_demo,N/A,N/A,MAGER14,91-92,MAGER14,88-89,MAGER14,88-89,full,14-category recode. Same coding all years (A+S). Position differs in 2006. [1992-2002: 1992 has MAGE12 (12-cat) at 73-74 only; no 14-cat. Use maternal_age_recode12 if added.]
maternal_age_recode9,Mother's Age Recode 9,maternal_demo,N/A,N/A,MAGER9,93-93,MAGER9,90-90,MAGER9,90-90,full,9-category recode. Same coding all years (A+S). Position differs in 2006. [1992-2002: 1992 has MAGE8 (8-cat) at 75. Different bin structure than MAGER9 (<15/15-19/.../50-54).]
maternal_race_multi,Mother's Race Recode 31 (multi-race),maternal_demo,N/A,N/A,N/A,N/A,MRACE31,132-133,MRACE31,132-133,within_era,31-category multi-race recode. Not in 2006 public-use file. Available 2014+ (version A only). [1992-2002: Multi-race (MRACE31) not until 2014 (revised).]
maternal_race_recode6,Mother's Race Recode 6,maternal_demo,N/A,N/A,N/A,N/A,MRACE6,134-134,MRACE6,134-134,within_era,6-category multi-race recode. Not in 2006. Available 2014+ (version A only). [1992-2002: Not in 1989 revision.]
maternal_race_bridged,Mother's Bridged Race Recode,maternal_demo,MRACE,79-80,MRACEREC,143-143,MRACEREC,137-137,N/A,N/A,partial,"4-category bridged race (1=White 2=Black 3=AIAN 4=API). Available in 2006 (A+S) and 2014 (A+S). Not present as data field in 2022 layout (only flag F_MRACEREC remains) — partial because the variable is missing for 2018-2022. 2006 position differs. [1992-2002: harmonized from 2-digit MRACE (79-80); harmonize.py recodes to V1 4-cat (01→1 White; 02→2 Black; 03→3 AIAN; 04-78→4 API). MRACE3 (81) 3-cat recode is insufficient because it collapses AIAN+API into a single 'Other' bucket.]"
maternal_race_bridged_detail,Mother's Bridged Race (detailed),maternal_demo,MRACE,79-80,MBRACE,139-140,N/A,N/A,N/A,N/A,within_era,"2-digit bridged race detail. Available for V2 (1992-2002) via MRACE (79-80) and for V1 2006 via MBRACE (139-140). Not in 2014/2022 layouts. within_era because V2 codes 04-07 are Asian/PI subgroups (Chinese/Japanese/etc.) while V1 2006 codes 04-07 are AIAN/Aleut/Eskimo subgroups — same numerics, different ethnic subgroups. Do NOT cross-era groupby on this column."
hispanic_origin,Mother's Hispanic Origin,maternal_demo,ORMOTH,76-76,UMHISP,148-148,UMHISP,142-142,UMHISP,142-142,full,0=Non-Hispanic; 1=Mexican; 2=PR; 3=Cuban; 4=Central/South American; 5=Other Hispanic; 9=Unknown. Same coding all years (A+S). Position differs in 2006. [1992-2002: Same semantic coding (0=Non-Hispanic;1-5=subgroups;9=Unknown). Subject to residence state reporting (see flag ORIGM at 316).]
race_hispanic_combined,Mother's Bridged Race/Hispanic Origin,maternal_demo,ORRACEM,77-77,MRACEHISP,149-149,MRACEHISP,143-143,N/A,N/A,partial,Combined bridged-race/Hispanic recode. Present in 2006 (A+S) and 2014 (A+S). Not in 2022 layout. [1992-2002: Hispanic origin & race recode. Same semantic structure (1-5 Hispanic; 6-8 Non-Hisp; 9 Unknown).]
race_hispanic_revised,Mother's Race/Hispanic Origin (revised),maternal_demo,N/A,N/A,N/A,N/A,SR_MRACEHISP,144-144,SR_MRACEHISP,144-144,within_era,8-category multi-race/Hispanic recode. Version A only. Not in 2006. Available 2014+. [1992-2002: Revised 8-cat recode is 2003 revision only.]
maternal_education,Mother's Education (Revised),maternal_demo,N/A,N/A,MEDUC,155-155,MEDUC,145-145,MEDUC,145-145,full,Revised 2003 coding (1-9). Version A only. Same coding all years; position differs in 2006. [1992-2002: Revised 9-cat education is 2003 revision only. See maternal_education_unrevised for 1992 mapping.]
maternal_education_unrevised,Mother's Education (Unrevised),maternal_demo,DMEDUC,82-83,UMEDUC,156-157,N/A,N/A,N/A,N/A,within_era,Unrevised years-of-school coding (00-17; 99). Only in 2006 (version S only). Not in 2014/2022 layouts. [1992-2002: Years-of-school coding (00-17; 99). Same concept as UMEDUC in 2006. Subject to residence state reporting (flag EDUCM at 318).]
marital_status,Mother's Marital Status,maternal_demo,DMAR,86-86,MAR,153-153,N/A,N/A,N/A,N/A,within_era,1=Married; 2=Unmarried; 9=Unknown. Present in 2006 (A+S). Not in 2014 or 2022 public-use fetal death layouts. [1992-2002: 1=Married;2=Unmarried;9=Unknown. Same coding. Subject to residence state reporting (flag DMARF at 321).]
maternal_nativity,Mother's Birth State Recode,maternal_demo,N/A,N/A,N/A,N/A,MBSTATE_REC,97-97,MBSTATE_REC,97-97,within_era,1=Native born; 2=Foreign born; 3=Unknown. Version A only. Not in 2006 public-use file. Available 2014+. [1992-2002: Not collected in 1989 revision.]
paternal_age_combined,Father's Combined Age,paternal_demo,DFAGE,161-162,FAGECOMB,182-183,FAGECOMB,177-178,FAGECOMB,177-178,full,10-98 single year; 99=Unknown. Version A only. Same coding all years; position differs in 2006. [1992-2002: 10-98 single year; 99=Unknown. Same concept.]
paternal_age_recode11,Father's Age Recode 11,paternal_demo,FAGE11,163-164,FAGEREC11,186-187,FAGEREC11,179-180,FAGEREC11,179-180,full,"11-category recode. Same coding all years (A+S). Position differs in 2006. [1992-2002: V2 1989-rev FAGE11 is 12-category (10=55-59, 11=60-98, 12=Not stated). harmonize.py recodes V2 to V1 11-cat: 01-09 unchanged; {10, 11} -> 10 (collapsed into V1 open-ended 55+); 12 -> 11 (Unknown). 411,167 V2 rows (10/11/12) are normalized; full 12-cat detail preserved as FAGE11 in yearly raw parquets. AUDIT-V2-FINAL B4 closure (2026-04-22)."
