harmonized_name,harmonized_label,domain,type,allowed_values,windows_available,raw_source_by_window,comparability_class,derivation_rule,notes
data_window,Publication Window,record_id,str,"1995-1997,1995-2000,2016-2020","1995-1997,1995-2000,2016-2020",derived from file source,full,Assigned at parse time per source file,
record_type,Record Category,record_id,str,"survivor,infant_death,fetal_death","1995-1997,1995-2000,2016-2020","1995-1997:BIRTHID@1; 1995-2000:BIRTHID@1; 2016-2020:BIRTHID@13","full","1=>survivor; 2=>infant_death; 3=>fetal_death",
set_id,Multiple-delivery Set ID,record_id,str,6-digit-zero-padded string,"1995-1997,1995-2000,2016-2020","1995-1997:SETID@8-13; 1995-2000:SETID@8-13; 2016-2020:MULTID@2-7","full","Per-window unique set identifier; not joinable across windows (NCHS reassigns)","Records sharing set_id are members of the same multiple delivery"
set_size,Plurality (set size),record_id,int,"2,3,4","1995-1997 (2-3 only); 1995-2000 (2-4); 2016-2020 (2-4)","1995-1997:PLURALITY@7; 1995-2000:PLURALITY@7; 2016-2020:PLURAL@1","full","Direct copy",1995-1997 public file excludes quadruplets per confidentiality
set_complete,Set Completeness Flag,record_id,int,"1=complete; 2=incomplete; 3=unmatched","1995-1997,1995-2000,2016-2020","1995-1997:FLGCOMP@22 (0=complete; 1=incomplete; 2=unmatched); 1995-2000:FLGCOMP@22; 2016-2020:COMPLETE@9 (1=complete; 2=incomplete) + COUNT@8 (1=unmatched)","full","2016-2020: COUNT=1 implies unmatched -> set_complete=3; otherwise from COMPLETE field. 1995-X: from FLGCOMP +1 for normalization",
set_order,Order Within Set,record_id,int,"1-4 (per set_size); 9=Unknown","1995-1997 (1-3); 1995-2000 (1-4); 2016-2020 (1-4)","1995-1997:SETORDER@24; 1995-2000:SETORDER@24; 2016-2020:SETORDER@103","full","Direct copy; 0/9 in source -> blank/9",
tabulation_flag,Tabulation Inclusion Flag (FD only),record_id,str,"1=under 20 weeks (exclude); 2=20 weeks or more (include); blank=live birth","1995-1997,1995-2000","1995-1997:TABFLAG@6; 1995-2000:TABFLAG@6; 2016-2020:absent","within_era","Direct copy from TABFLAG; null for 2016-2020 records",2016-2020 file restricts to 20+ weeks at NCHS source -> all FD records implicitly = '2'
residence_status,Residence Status,demographics,int,"1=Resident; 2=Intrastate nonresident; 3=Interstate nonresident; 4=Foreign resident","1995-1997,1995-2000,2016-2020","1995-1997:RESTATUS@26; 1995-2000:RESTATUS@26; 2016-2020:absent","full",Direct copy; null for 2016-2020 (state-residence suppressed from public 2003-rev file),Canonical filter for US-resident tabulations: residence_status != 4
maternal_age,Maternal Age (single year),demographics,int,"10-50+","1995-1997,1995-2000,2016-2020","1995-1997:DMAGE@41-42; 1995-2000:DMAGE@41-42; 2016-2020:MAGER@15-16","full","Direct copy; values 15/16-49/50 in older era (15=under 15; 50=50+); 12/13-49/50 in 2016-2020",
maternal_race_hispanic,Maternal Race/Hispanic Origin (recode),demographics,str,"NH_White,NH_Black,NH_AIAN,NH_Asian,NH_NHOPI,NH_multiple,Hispanic,unknown","1995-1997,1995-2000 (4-cat); 2016-2020 (8-cat)","1995-1997:ORRACEM@46 (1=Hispanic; 2=NH White; 3=NH Black; 4=NH other; 9=unknown); 1995-2000:ORRACEM@46; 2016-2020:MRACEHISP@20","within_era","1995-X: 4-category mapping (Hispanic; NH White; NH Black; NH other); 2016-2020: 8-category mapping; cross-window analyses should collapse to 4-cat",Within-era discipline applies; cross-era analysis requires 4-cat collapse
maternal_education_cat4,Maternal Education (4 categories),demographics,str,"lt_hs,hs,some_college,ba_plus,unknown","1995-1997,1995-2000,2016-2020","1995-1997:MEDUC6@60; 1995-2000:MEDUC6@60; 2016-2020:MEDUC@24","within_era","1995-X (years-based 6-cat): 1-2 -> lt_hs; 3 -> hs; 4 -> some_college; 5 -> ba_plus; 6 -> unknown. 2016-2020 (degree-based 9-cat): 1-2 -> lt_hs; 3 -> hs; 4-5 -> some_college; 6-8 -> ba_plus; 9 -> unknown",Same F4-style boundary as natality 1989/2003-revision split; comparability_class=within_era
nativity,Maternal Nativity,demographics,str,"US_born,foreign_born,unknown","1995-1997,1995-2000,2016-2020","1995-1997:MPLBIRR@63; 1995-2000:MPLBIRR@63; 2016-2020:NATIVITY@19","full",Direct mapping,
marital_status,Maternal Marital Status,demographics,str,"married,unmarried,unknown","1995-1997,1995-2000,2016-2020","1995-1997:DMAR@62; 1995-2000:DMAR@62; 2016-2020:MARRIED@21","full",Direct mapping,
plurality_imputed,Plurality Imputed Flag,demographics,int,"0=not imputed; 1=imputed","1995-1997,1995-2000","1995-1997:PLUIMP@21; 1995-2000:PLUIMP@21; 2016-2020:absent","within_era",Direct copy,2016-2020 file does not ship explicit plurality-imputation flag
sex_infant,Sex of Infant,outcomes,str,"M,F,U","1995-1997,1995-2000,2016-2020","1995-1997:CSEX@105 (1=M; 2=F; 9=Unknown); 1995-2000:CSEX@105; 2016-2020:SEX@104","full","1995-X (1->M; 2->F; 9->U); 2016-2020 (M/F native)",
gestation_weeks,Gestation (weeks),outcomes,int,"17-47; 99=unknown","1995-1997,1995-2000,2016-2020","1995-1997:GESTAT@102-103; 1995-2000:GESTAT@102-103; 2016-2020:OEGEST@106-107","full",Direct copy,
birthweight_g,Birth Weight (grams),outcomes,int,"227-8165; null=not stated","1995-1997 (DBIRWT@106-109); 1995-2000 (DBIRWT@106-109)","1995-1997:DBIRWT@106-109; 1995-2000:DBIRWT@106-109; 2016-2020:DERIVED from BWTR12","within_era","1995-X: direct grams; 2016-2020: midpoint of 12-category recode (loss of single-gram detail)","2016-2020 file ships only BWTR12 (12-category recode 227-499g / 500-999g / ... / 5000-8165g) — no native single-gram birthweight"
birthweight_recode12,Birth Weight Recode 12,outcomes,int,"1-12 per layout-csv values_summary","1995-1997,1995-2000,2016-2020","1995-1997:BIRWT12@110-111; 1995-2000:BIRWT12@110-111; 2016-2020:BWTR12@114-115","full",Direct copy,
apgar_5_min,5-minute APGAR Score,outcomes,int,"0-10; 99=unknown","1995-1997,1995-2000,2016-2020","1995-1997:FMAPS@112-113; 1995-2000:FMAPS@112-113; 2016-2020:APGAR5@97-98","full",Direct copy,
delivery_method,Method of Delivery (recode),outcomes,str,"vaginal,vaginal_after_csection,primary_csection,repeat_csection,csection_unknown,hysterotomy,unknown","1995-1997,1995-2000,2016-2020","1995-1997:DELMETH6@124; 1995-2000:DELMETH6@124; 2016-2020:DMETHOD@86","within_era","1995-X (DELMETH6 6-cat); 2016-2020 (DMETHOD 6-cat with different boundary); cross-window analyses should collapse to 3-cat (vaginal/csection/unknown)",
age_at_death_days,Age at Death (days; ID only),outcomes,int,"0-364; null=non-infant-death","1995-1997,1995-2000,2016-2020","1995-1997:AGED@228-230; 1995-2000:AGED@228-230; 2016-2020:AGED@141-143","full",Direct copy; null for survivor + fetal-death records,
age_at_death_recode5,Age at Death (5-category recode; ID only),outcomes,int,"1=<1hr; 2=1-23hr; 3=1-6d; 4=7-27d (late neonatal); 5=28d+ (postneonatal)","1995-1997,1995-2000,2016-2020","1995-1997:AGER5@231; 1995-2000:AGER5@231; 2016-2020:AGER5@144","full",Direct copy; null for non-infant-death,
cause_of_death_icd,Underlying Cause of Death (ICD code; ID only),outcomes,str,4-character ICD-9 or ICD-10 code,"1995-1997,1995-2000,2016-2020","1995-1997:UCOD@233-236 (ICD-9 only); 1995-2000:UCOD9@233-236 + UCOD10@485-488 (1999-2000 uses ICD-10); 2016-2020:UCOD@151-154 (ICD-10 only)","within_era","ICD revision boundary at 1999; cross-era analyses require ICD-9/10 crosswalk","Cause_of_death_icd_revision column flags 9 vs 10"
cause_of_death_icd_revision,ICD Revision Flag for Cause of Death,outcomes,int,"9=ICD-9; 10=ICD-10","1995-1997 (ICD-9); 1995-2000 (9 or 10 per data_year: 1995-1998=ICD-9; 1999-2000=ICD-10); 2016-2020 (ICD-10)","derived from window + per-record presence of UCOD9 vs UCOD10","within_era","Set per record at parse time",
