position_start,position_end,length,field_name,description,applies_to,values_summary,notes
1,1,1,PLURAL,Plurality,all,"2=Twin; 3=Triplet; 4=Quadruplet",Matched set size; sole criterion for matched-multiples inclusion
2,7,6,MULTID,Matched ID in multiple delivery,all,100000-799999,Records sharing MULTID are members of the same multiple-delivery set
8,8,1,COUNT,Number of matched records in set,all,"1=Unmatched; 2=Two matched; 3=Three matched; 4=Four matched",
9,9,1,COMPLETE,Member of complete set,all,"1=Complete set; 2=Incomplete set",
10,10,1,BIRTH,Live birth flag,all,1=Live birth (blank otherwise),Flag; BIRTH=1 for all live-birth records (survivors + infant deaths)
11,11,1,DEATH,Death of live birth flag,all,1=Infant death (blank otherwise),Flag; DEATH=1 for live birth that died in first year
12,12,1,FETAL,Fetal death flag,all,1=Fetal death (blank otherwise),Flag; FETAL=1 for fetal death records (variable also written as FETALD in narrative)
13,13,1,BIRTHID,Record category,all,"1=Survivor (live birth + first-year survival); 2=Infant death; 3=Fetal death",
14,14,1,BFACIL,Place of birth (facility type),all,"1=Hospital; 2=Freestanding birth center; 3=Home (intended); 4=Home (not intended); 5=Home (unknown if intended); 6=Clinic/Doctor office; 7=Other; 9=Unknown",
15,16,2,MAGER,Maternal single year of age,all,"12 (10-12); 13-49; 50 (50+)",Left-justified
17,17,1,MAGER9,Maternal age recode (9 categories),all,"1=<15; 2=15-19; 3=20-24; 4=25-29; 5=30-34; 6=35-39; 7=40-44; 8=45-49; 9=50-54",
18,18,1,MAGE_IMP,Maternal age imputed,all,"Blank=Not imputed; 1=Imputed",
19,19,1,NATIVITY,Maternal nativity,all,"1=Born in US; 2=Born outside US (incl possessions); 3=Unknown",
20,20,1,MRACEHISP,Maternal race/Hispanic origin,all,"1=NH White only; 2=NH Black only; 3=NH AIAN only; 4=NH Asian only; 5=NH NHOPI only; 6=NH multiple race; 7=Hispanic; 8=Origin unknown",
21,21,1,MARRIED,Marital status,all,"1=Married; 2=Unmarried",
22,22,1,PATERNITY,Paternity acknowledged,all,"Y=Yes; N=No; U=Unknown; X=Not applicable",
23,23,1,MARR_IMP,Marital status imputed,all,"Blank=Not imputed; 1=Imputed",
24,24,1,MEDUC,Maternal education,all,"1=8th grade or less; 2=9th-12th grade no diploma; 3=HS grad/GED; 4=Some college no degree; 5=Associates; 6=Bachelors; 7=Masters; 8=Doctorate/Professional; 9=Unknown",
25,26,2,FAGER11,Paternal age recode (11 categories),all,"1=<15; 2=15-19; 3=20-24; 4=25-29; 5=30-34; 6=35-39; 7=40-44; 8=45-49; 9=50-54; 10=55-98; 11=Unknown",
27,27,1,FRACEHISP,Paternal race/Hispanic origin,all,"1=NH White only; 2=NH Black only; 3=NH AIAN only; 4=NH Asian only; 5=NH NHOPI only; 6=NH multiple race; 7=Hispanic; 8=Origin unknown",
28,28,1,FEDUC,Paternal education,all,"1=8th grade or less; 2=9th-12th grade no diploma; 3=HS grad/GED; 4=Some college no degree; 5=Associates; 6=Bachelors; 7=Masters; 8=Doctorate/Professional; 9=Unknown",
29,29,1,LBO_R,Live birth order recode,all,"1-7=order; 8=8+; 9=Unknown",
30,30,1,TBO_R,Total birth order recode,all,"1-7=order; 8=8+; 9=Unknown",
