year,source_url,source_org,raw_filename,file_format,doc_filename,imported,notes
1990,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat1990.zip,NCHS/DVS,Nat1990.zip,"zip; ASCII fixed-width 350-byte records (US+territories combined, RECTYPE=1 for US)",Nat1990doc.pdf,true,"Nat1990doc.pdf in raw_docs/. Zip: raw_data/Nat1990.zip. Unrevised 1989 certificate only."
1991,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat1991.zip,NCHS/DVS,Nat1991.zip,"zip; ASCII fixed-width 350-byte records (US+territories combined, RECTYPE=1 for US)",Nat1991doc.pdf,true,"Nat1991doc.pdf in raw_docs/. Zip: raw_data/Nat1991.zip. Unrevised 1989 certificate only."
1992,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat1992.zip,NCHS/DVS,Nat1992.zip,"zip; ASCII fixed-width 350-byte records (US+territories combined, RECTYPE=1 for US)",Nat1992doc.pdf,true,"Nat1992doc.pdf in raw_docs/. Zip: raw_data/Nat1992.zip. Unrevised 1989 certificate only."
1993,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat1993.zip,NCHS/DVS,Nat1993.zip,"zip; ASCII fixed-width 350-byte records (US+territories combined, RECTYPE=1 for US)",Nat1993doc.pdf,true,"Nat1993doc.pdf in raw_docs/. Zip: raw_data/Nat1993.zip. Unrevised 1989 certificate only."
1994,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat1994us.zip,NCHS/DVS,Nat1994us.zip,zip; ASCII fixed-width 350-byte records (US only),Nat1994doc.pdf,true,"Nat1994doc.pdf in raw_docs/. Zip: raw_data/Nat1994us.zip. Unrevised 1989 certificate only."
1995,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat1995us.zip,NCHS/DVS,Nat1995us.zip,zip; ASCII fixed-width 350-byte records (US only),Nat1995doc.pdf,true,"Nat1995doc.pdf in raw_docs/. Zip: raw_data/Nat1995us.zip. Unrevised 1989 certificate only."
1996,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat1996us.zip,NCHS/DVS,Nat1996us.zip,zip; ASCII fixed-width 350-byte records (US only),Nat1996doc.pdf,true,"Nat1996doc.pdf in raw_docs/. Zip: raw_data/Nat1996us.zip. Unrevised 1989 certificate only."
1997,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat1997us.zip,NCHS/DVS,Nat1997us.zip,zip; ASCII fixed-width 350-byte records (US only),Nat1997doc.pdf,true,"Nat1997doc.pdf in raw_docs/. Zip: raw_data/Nat1997us.zip. Unrevised 1989 certificate only."
1998,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat1998us.zip,NCHS/DVS,Nat1998us.zip,zip; ASCII fixed-width 350-byte records (US only),Nat1998doc.pdf,true,"Nat1998doc.pdf in raw_docs/. Zip: raw_data/Nat1998us.zip. Unrevised 1989 certificate only."
1999,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat1999us.zip,NCHS/DVS,Nat1999us.zip,zip; ASCII fixed-width 350-byte records (US only),Nat1999doc.pdf,true,"Nat1999doc.pdf in raw_docs/. Zip: raw_data/Nat1999us.zip. Unrevised 1989 certificate only."
